leaid,leanm,stateabb,mn_asmts,meanavg,sesavgall,fips,tot_asmts,cellcount,mn_grd_eb,mn_coh_eb,mn_mth_eb
1931920,WOODBINE COMM SCHOOL DISTRICT,IA,29.67708333333333,5.640110731152016,.3609240872845766,19,2849,96,.9458107785236461,.0460529111565846,-.2914916969843697
1931950,WOODBURY CENTRAL COMM SCHOOL DISTRICT,IA,44.06382978723404,6.062206323532824,1.079869335653717,19,4142,94,.9655800667841977,.051059590347415,-.1448564982768926
1932010,WOODWARD-GRANGER COMM SCHOOL DISTRICT,IA,55.1875,6.122020364415935,1.10108773320525,19,5298,96,.9620427303112054,.0826344126831088,-.2027620732058635
1999017,PCM COMM SCHOOL DISTRICT,IA,78.17708333333333,5.813458748139827,.7351953853974414,19,7505,96,.9726495405220754,.0697987507800393,-.4926656138106871
1999019,SOUTHEAST WEBSTER GRAND COMM SCHOOL DISTRICT,IA,46.38541666666666,5.8233226177369,.0747662317071775,19,4453,96,.8283210386885932,.0307277174621575,-.0875914054083725
2000001,SOUTHEAST OF SALINE,KS,55.07317073170731,5.987894762861378,1.107998754823006,20,4516,82,.9879406254942787,-.0783535313970892,.3834053014267573
2000002,SMOKY VALLEY,KS,68.60714285714286,6.128921302694646,.9522158199875581,20,5763,84,.9314603143685335,-.0463653317707792,-.196114900088552
2000003,WAMEGO,KS,106.3928571428571,6.27095701358869,1.128073526139294,20,8937,84,.7567109820645956,-.1006322390923086,.0078106349566282
2000004,ROCK CREEK,KS,68.32142857142857,7.077436345681323,1.284516083393407,20,5739,84,.9118582006605473,-.0479567073407549,.344277884932157
2000005,SABETHA,KS,72.45833333333333,7.013750701553988,,20,1739,24,,,.7197076392163954
2000006,HIAWATHA,KS,63.34523809523809,6.56777627275853,.0414069741388617,20,5321,84,1.216833649142318,-.0014986390119329,.2819681826504578
2000007,SMITH CENTER,KS,28.70238095238095,6.372595670034141,.3910218034193972,20,2411,84,.9055624566069921,-.0771150796609699,-.296644956170285
2000012,BARNES,KS,17.48684210526316,6.454430671226742,.6936435599518521,20,1329,76,.7888976101709794,-.1144908083057576,.1444953935179649
2000013,TRIPLAINS,KS,6.142857142857143,6.65878736356149,.3130536568906009,20,473,77,,.085822489713408,
2000014,CENTRAL HEIGHTS,KS,42.85714285714285,5.390822549683365,.303401506249298,20,3600,84,.9716973093262565,-.0458702179104204,-.104228907137228
2000015,OTTAWA,KS,183.9285714285714,5.498571353153063,.1691889287817216,20,15450,84,.887299863014991,-.1019097156244642,.4072368315934098
2000016,MARYSVILLE,KS,50.47619047619047,5.934937327465138,.7070917093027537,20,4240,84,.8998229583686996,-.0526634987359341,.0245191772116715
2000017,SCOTT COUNTY,KS,66.71428571428571,5.87105633640371,1.159383660242721,20,5604,84,1.126088527322679,-.0226564031993574,.4011227616111687
2000020,WESTERN PLAINS,KS,10.80263157894737,5.145378541914753,.5084382445952761,20,821,76,1.189052644673566,.0167351157182624,.1807986287060409
2000023,RAWLINS COUNTY,KS,23.03703703703704,5.973929675330636,.7338079058975546,20,1866,81,.9862257780860939,-.0221181939326793,-.1363133584257864
2000028,WASHINGTON CO. SCHOOLS,KS,28.63095238095238,5.580429229628928,.6156180872368194,20,2405,84,.9383705466458021,-.0897090085836813,-.1060511311322443
2000029,ROCK HILLS,KS,17.60975609756098,6.118747499533929,.5769816968082756,20,1444,82,1.246076387027723,-.0797231658487865,.3890653253046237
2000030,REPUBLIC COUNTY,KS,34.17073170731707,6.207673887600362,.1318444250673185,20,2802,82,.9599041518446891,-.0226353668739508,.3966007919905589
2000346,THUNDER RIDGE SCHOOLS,KS,17.76190476190476,6.280515849033136,.6315228314882924,20,1492,84,1.120013844839484,-.0404953098294506,.3027812602510246
2000348,DONIPHAN WEST SCHOOLS,KS,24.09722222222222,5.686788472794696,.4652337821244195,20,1735,72,.8964247893242636,-.1710763734135093,.3286230730897038
2000349,CENTRAL PLAINS,KS,34.41379310344828,6.859529326170244,,20,1996,58,.8280314484958765,-.12783328268089,.0864274751535283
2000350,PRAIRIE HILLS,KS,85.59999999999999,6.991294843896931,,20,5136,60,1.027821688121175,-.0144240581582853,.5808532382931415
2000351,RIVERSIDE,KS,47.94642857142857,4.954286269253017,,20,2685,56,.7994144698915591,-.0289838733199054,-.0212672779071225
2000353,NEMAHA CENTRAL,KS,35.41666666666666,7.56068280212975,,20,1700,48,.7687140389113423,,.2868335365571592
2003180,ABILENE,KS,117.6951219512195,5.917239177828093,.6927856376686579,20,9651,82,1.042129172032372,-.0561916020246233,-.0671646308806634
2003200,AUBURN WASHBURN,KS,441.0952380952381,6.858135702732999,1.342810195576979,20,37052,84,.9756943991075828,-.0362076080953303,.13250725940968
2003210,NORTH LYON COUNTY,KS,35.34523809523809,6.00749189455641,.5427101635571109,20,2969,84,.9531054492052778,-.0302269936740034,.2503597429866777
2003240,WABAUNSEE,KS,35.05952380952381,6.477204698109566,1.101888311954555,20,2945,84,1.118445598131204,.0401116425608154,.6490816147693983
2003270,NORTHERN VALLEY,KS,14.48809523809524,6.228835859214746,.1932731530892724,20,1217,84,.9875752901824629,.0107567715670888,.1196511235273211
2003300,LABETTE COUNTY,KS,115.7682926829268,6.675408232755715,.6649975740681863,20,9493,82,.9624860983826192,-.0806735780820582,.2363214072818788
2003360,ANDOVER,KS,386.2261904761905,7.362746011895707,1.868283800828319,20,32443,84,1.186256832219251,.080546668369152,.1288137256296321
2003390,CHAPARRAL SCHOOLS,KS,59.92857142857143,6.06629314929018,.401963839640219,20,5034,84,.8857137965647303,-.0602970678646324,.6279408241190768
2003430,ARGONIA PUBLIC SCHOOLS,KS,12.54761904761905,6.392400332983155,-.1007983807128468,20,1054,84,.8335285718363616,-.0525330609829908,.2233864746314977
2003450,ARKANSAS CITY,KS,201.5238095238095,5.627329015793487,-.353462332604461,20,16928,84,.9896396534742753,-.1167662728606563,.3855127849663031
2003480,NORTHEAST,KS,40.58333333333334,5.318383110058689,-.3571538691377633,20,3409,84,1.174868413609144,-.0507745773948918,.029619005627398
2003510,ASHLAND,KS,14.82051282051282,5.925101917537562,.5404149865776134,20,1156,78,.5880448091499061,-.0871352970778823,.4721347544480965
2003540,ATCHISON PUBLIC SCHOOLS,KS,118.3333333333333,5.1993475470676,-.2152420547464605,20,9940,84,1.097842850554623,-.1132419651398479,.1939650271675369
2003570,ATTICA,KS,11.28048780487805,5.811145637121758,.1763704566579376,20,925,82,.8787523460098956,.0655879569737178,-.1882661524460524
2003630,AUGUSTA,KS,169.702380952381,6.227773873233764,.2827053013806173,20,14255,84,.7415017272073195,-.1928028357659234,.002883127169215
2003660,AXTELL,KS,19,,,20,456,24,,,
2003690,B & B,KS,13.38888888888889,8.688447766936074,,20,482,36,,,
2003720,BALDWIN CITY,KS,103.5476190476191,6.424019666751563,1.130624509387346,20,8698,84,.9586595963111904,-.0596632485590485,.2654774249557836
2003780,BASEHOR-LINWOOD,KS,164.6428571428571,6.576164462639949,1.321851790543358,20,13830,84,.8622563000794544,-.058030781648343,-.2797125324957896
2003810,BAXTER SPRINGS,KS,74.26190476190476,5.561586340075641,-.1703989822027666,20,6238,84,.7363770293793301,-.0979972340268392,-.0536578191598596
2003870,BELOIT,KS,56.24390243902439,6.178472314358549,.9120069683351548,20,4612,82,1.008563322044733,.0108082133032037,.2561056575175449
2003900,BELLE PLAINE,KS,45.78571428571428,5.823380262777204,.5167427479968968,20,3846,84,.9924633115710298,-.2270100287892728,-.2853478010118094
2003960,TWIN VALLEY,KS,44.84523809523809,5.869324760441531,.6587998127666079,20,3767,84,.7737918201536601,-.1343401188887816,.0815073566733672
2004020,OTIS-BISON,KS,14.04878048780488,5.676496229197993,.7321466894431874,20,1152,82,1.126569767883821,.0655794420908648,.7515206889231068
2004050,BONNER SPRINGS,KS,190.1547619047619,5.430536475613171,.3425309891196764,20,15973,84,.889366977343009,.0391144308107529,.0891911320231884
2004080,BREWSTER,KS,6.580246913580247,5.057321683118824,.9415833213305632,20,533,81,.9038989336926073,-.1727516728199495,.0372464713990741
2004140,BUCKLIN,KS,18.07142857142857,5.124189968215257,.4326861036175838,20,1518,84,1.132394124141622,-.1110193565710996,.0166716815305897
2004170,ALTOONA-MIDWAY,KS,12.5,4.652862329646902,.1546881570731294,20,1025,82,.8259216339282147,-.0456645558107898,-.3194403395927781
2004200,BUHLER,KS,170.702380952381,6.25473895018719,.8627784280585116,20,14339,84,.916021234164604,-.0493332916748137,-.0307221344047319
2004230,CENTRAL,KS,22.26190476190476,5.818558379408946,.1439596365318692,20,1870,84,1.067503975783486,-.102792761593949,.973131127790855
2004260,BURLINGAME PUBLIC SCHOOL,KS,24.09756097560976,6.025828306140333,.4118509450683494,20,1976,82,.9832252152709556,.0163084773650651,.7628982568027248
2004290,BURLINGTON,KS,65.13095238095238,6.038195910924064,.4718749632499155,20,5471,84,1.157296664973962,.0687772071131041,.3592418011837188
2004350,BURRTON,KS,17.57142857142857,5.423792109912207,.7415460525860171,20,1476,84,.6961567135454092,-.0220511891554906,-.0827572837059578
2004380,CALDWELL,KS,16.82142857142857,5.354345642182621,.0523611891328844,20,1413,84,.9018716874136454,-.1053752245115367,-.6430490928800779
2004410,CANEY VALLEY,KS,58.95238095238095,6.20360993040924,.1241663619470836,20,4952,84,.7250142018899957,-.1316862111459499,.1521540175817223
2004440,CANTON-GALVA,KS,28.63414634146341,6.041725492058561,.6804573922579232,20,2348,82,1.147188822916776,-.0713448557707622,-.32102669312144
2004470,WACONDA,KS,23.76190476190476,7.713522030358877,.6002541737610851,20,1996,84,.8826598988159,-.1109315238909742,.6423855339403535
2004500,CEDAR VALE,KS,11.23170731707317,5.396953193474237,.0984416773344008,20,921,82,.8119982799617579,-.0380024341761258,-.1419788075207315
2004560,VERMILLION,KS,38.30952380952381,7.510906668858304,.6506076740953517,20,3218,84,1.086441169216887,-.0831095198790086,.1241104499395993
2004590,CHANUTE PUBLIC SCHOOLS,KS,135.7857142857143,5.800471798573751,-.3575688711750466,20,11406,84,1.028036220344606,.0567633708801817,.6093063212656582
2004620,CHAPMAN,KS,76.42682926829268,6.298269810292613,.494865560642486,20,6267,82,.8269201077714894,-.0380575299955848,-.2756956252239283
2004650,CHASE-RAYMOND,KS,11.07228915662651,4.318162692322554,.0002684731041718,20,919,83,.7055718406389561,-.2606134674047125,.0322591782568118
2004670,CHENEY,KS,57.21428571428572,7.043166010463789,1.242405914113478,20,4806,84,.8127036436582706,-.0460747740123797,-.0408112219097425
2004710,CHEROKEE,KS,49.86904761904762,5.697284327791692,.1427477121019378,20,4189,84,.8927940237180286,-.147988805295326,.0612672413610996
2004740,CHERRYVALE,KS,61.28915662650602,5.67202106778227,-.2672325652009805,20,5087,83,1.029241581656123,-.1185519081099017,.3629735437666406
2004770,CHETOPA-ST. PAUL,KS,36.10714285714285,5.41317543528411,-.0421998496603199,20,3033,84,.7617422855336106,-.1552758755370115,.0473887125918293
2004790,CHEYLIN,KS,10.1375,5.915165082470349,.5814301879114026,20,811,80,1.196141539129587,-.0478692944740492,.5079347800171542
2004800,CIMARRON-ENSIGN,KS,51.25301204819277,6.333750692500307,.6571458712330815,20,4254,83,1.181009386702775,-.0436713619907,.5400861965992942
2004830,NORTH JACKSON,KS,28.12048192771084,6.42522563759033,.7900733211382421,20,2334,83,.9231654869765126,.0789902258484122,.3166329091314827
2004860,CLAFLIN,KS,16.04166666666667,,,20,385,24,,,
2004890,CLAY CENTER,KS,101.7619047619048,6.443271590880147,.5329740962822984,20,8548,84,.7903322360168556,-.162618362050321,.1771586665738143
2004920,CLEARWATER,KS,86.03614457831326,6.334370916266884,.8926669753370783,20,7141,83,.8873520409013597,-.0857992877293158,-.167419799034342
2004950,CLIFTON-CLYDE,KS,23.06024096385542,6.237290679703957,.4155905364716883,20,1914,83,.6982852174125626,-.2852905951128447,-.1205132750708475
2004980,COFFEYVILLE,KS,129.4761904761905,4.870776858888017,-.2831359387537931,20,10876,84,1.00268513414994,.0934389987317357,.053183517433974
2005010,COLBY PUBLIC SCHOOLS,KS,64.21428571428571,5.364828423565987,.9499079560034062,20,5394,84,1.06116192057864,-.0260231942240361,.3090838820333995
2005040,COMANCHE COUNTY,KS,25.05952380952381,6.074069599840478,.6196175206973409,20,2105,84,1.047070701779006,-.0300022485257749,.3354325190097605
2005070,COLUMBUS,KS,77.61904761904762,5.251160168351811,.289368043677279,20,6520,84,.9101348248776787,-.0221750985128825,-.1149614861134431
2005100,CONCORDIA,KS,78.20238095238095,5.958254641996413,.0988979680812544,20,6569,84,.879202405111728,-.1316374187112851,-.2210811769723443
2005130,CONWAY SPRINGS,KS,34.63095238095238,6.046782688853108,.6736666576522585,20,2909,84,1.142046500024706,.0299110671310366,.0515872973693459
2005190,COPELAND,KS,16.33333333333333,6.012614576767703,.9086807104236032,20,1274,78,1.136438566982924,.0339114632584036,1.02914009933271
2005250,CHASE COUNTY,KS,29.52380952380953,6.250515403467177,.4420740443400843,20,2480,84,.9869559366609866,.0009819552102484,-.0434552137436608
2005280,MORRIS COUNTY,KS,57.19047619047619,6.108033907523829,.5416195968519633,20,4804,84,1.104940468683087,-.0312955430522289,.1242378285314633
2005310,PIKE VALLEY,KS,16.95180722891566,5.827252246118999,.9110140835632129,20,1407,83,1.199570241279852,-.0153953426154515,.2589318667019684
2005370,CUNNINGHAM,KS,12.70731707317073,6.184371763516883,.8265991134240838,20,1042,82,1.192598182235667,.0619675865701641,.0701027673277672
2005400,DEERFIELD,KS,16.6375,4.972719997074986,.1338143007241125,20,1331,80,.6426300188834749,-.260805320080976,-.1064035407608994
2005430,MIDWAY SCHOOLS,KS,17.66666666666667,,,20,212,12,,,
2005460,DERBY,KS,484.7142857142857,5.866374108020985,.7381595153374518,20,40716,84,.9547634521735442,.0202763547430678,.2998635420300124
2005490,DE SOTO,KS,537.8809523809524,7.139343177801204,1.695781626533175,20,45182,84,1.156959710801522,.1029802142594555,.1305654761702627
2005520,DEXTER,KS,8.952380952380953,5.675606747717707,.4357089581638475,20,752,84,.9520281295065639,-.0421226290076229,-.5106103331350166
2005550,DIGHTON,KS,17.78048780487805,6.682526061844331,.4599753099714882,20,1458,82,1.001471934309073,-.0925852039011433,.3816867440481457
2005580,DODGE CITY,KS,451.1904761904762,4.649690537173733,.0248956687593045,20,37900,84,.806183206326643,-.0645773610719588,.2691900500063912
2005610,DOUGLASS PUBLIC SCHOOLS,KS,53.63095238095238,5.407745317563275,.535414382744977,20,4505,84,.9162616705140134,-.0872414686922257,-.0222064113535245
2005640,EASTON,KS,50.29761904761905,6.022572096529478,.8051568458926687,20,4225,84,.6428888664553907,-.0153852926359422,-.106040790881171
2005700,ATCHISON CO COMM SCHOOLS,KS,46.32142857142857,5.541829935217563,.5526739242229327,20,3891,84,.8585679642843678,-.1344454985126493,.1792900987352826
2005730,EL DORADO,KS,140.7857142857143,5.732511596777369,-.1793945332469058,20,11826,84,.7298979636568184,-.0959280550064708,.2980868588515466
2005760,ELK VALLEY,KS,10.52380952380952,4.518035978184672,-.4428327662572838,20,884,84,.5168726500107268,-.0543333628824616,.1354129221081394
2005790,ELKHART,KS,39.40243902439025,5.305462924764799,.5389114246951673,20,3231,82,.8453680470151282,.0249816107375153,-.01042764088627
2005800,ELL-SALINE,KS,36.25,5.844450878495127,1.082964436878509,20,3045,84,1.041168344325178,-.0101482937412869,-.2917160867303656
2005820,ELLINWOOD PUBLIC SCHOOLS,KS,27.79012345679012,5.728211328725881,.4713989076151903,20,2251,81,.7874660491054913,-.0889697785411131,.2865842825586344
2005850,ELLIS,KS,28.14285714285714,6.098310376383,1.001048166498418,20,2364,84,1.1834510920227,-.0044252474689732,-.3251784212702371
2005870,ELLSWORTH,KS,46.08333333333334,6.076307218673097,.8022368748554682,20,3871,84,.6537959945151683,-.0820814246392867,-.0637515353068704
2005910,ELWOOD,KS,19.33333333333333,,,20,464,24,,,
2005940,EMPORIA,KS,309.4166666666667,5.422975702767386,-.2768066179407829,20,25991,84,.9986126919033269,.0351733546338521,.0494232780535418
2006000,ERIE-GALESBURG,KS,37.98780487804878,5.558070590899071,.064583157838423,20,3115,82,.8999840884650303,-.1629617293369899,.3942274343691231
2006060,MISSION VALLEY,KS,36.8625,5.454134776339422,1.045398640576078,20,2949,80,.9527244366845085,-.0515107475606172,.0709466875859734
2006090,EUDORA,KS,115.0119047619048,6.05208377283412,.7918409608745473,20,9661,84,1.054310960144595,.0187315100731442,-.232764215363934
2006120,EUREKA,KS,46.85714285714285,6.122567040777127,-.0594087108856552,20,3936,84,.7666940900898085,-.0457360409711986,-.0206628357853349
2006180,FORT SCOTT,KS,145.702380952381,4.900454290022911,.0395216994983064,20,12239,84,1.11904202778335,-.0313265586021935,-.0833563227814417
2006210,FOWLER,KS,11.57142857142857,5.313554687848599,.6084304263105337,20,972,84,.9031990739831326,-.0495949655701252,-.0407233126118963
2006240,REMINGTON-WHITEWATER,KS,36.575,6.321222253888692,1.105839024030823,20,2926,80,1.127070722945169,.0395071415271526,.158241555645539
2006270,FREDONIA,KS,53.30952380952381,5.489018408395027,-.1021304637318045,20,4478,84,.8074324751341219,-.1745594939651679,.0979672835229845
2006300,FRONTENAC PUBLIC SCHOOLS,KS,71.35714285714286,6.096528788330188,.5664996933208369,20,5994,84,1.003688232491862,.0600681418346146,.0883126359395233
2006330,FT LEAVENWORTH,KS,171.9404761904762,7.051149069585104,1.202779874728112,20,14443,84,1.084132329302484,.1028312008523555,-.2292358678007067
